Страна,Площадь,Площадь (мили),Площадь суши (км2),ActualSizeOfCountriesTotalWaterkm,ActualSizeOfCountriesTotalWater,Процент воды в территории,Население,Продолжительность жизни (все),Продолжительность жизни (мужчины),Продолжительность жизни (женщины),ИЧР,"ВВП (номинальный, 2024, млрд $)"
Пакистан,881912.0,881912.0,770880.0,25223.0,9739.0,2.9,251 269 164,67.8,65.5,70.3,0.54,1642.572
Палау,459.0,459.0,460.0,0.0,0.0,0.0,21 507,69.4,67.3,71.9,0.797,0.307
Панама,75417.0,75417.0,74180.0,1080.0,417.0,1.4,3 764 166,79.8,76.9,82.7,0.82,202.013
Парагвай,406752.0,406752.0,397300.0,9450.0,3650.0,2.3,6 109 903,74.0,71.0,77.1,0.731,124.726
Перу,1285216.0,1285216.0,1280000.0,5220.0,2020.0,0.4,34 217 848,77.9,75.6,80.3,0.762,566.582
Польша,312679.0,312679.0,306130.0,791.0,305.0,0.3,38 539 201,78.8,75.1,82.5,0.881,1800.54
Россия,17098242.0,17098242.0,16376870.0,719836.0,277930.0,4.2,144 820 423,73.3,67.5,79.2,0.821,5472.88
Руанда,26338.0,26338.0,24670.0,1670.0,645.0,6.3,14 256 567,68.0,65.7,70.1,0.548,46.658
Румыния,238391.0,238391.0,230080.0,7100.0,2700.0,3.0,19 015 088,76.1,72.6,79.7,0.827,817.986
Самоа,2842.0,2842.0,2780.0,10.0,4.0,0.4,197 000,71.8,70.0,73.8,0.702,1.421
Сан-Марино,61.0,61.0,60.0,0.0,0.0,0.0,33 925,85.8,84.3,87.2,0.867,2.978
Сенегал,196722.0,196722.0,192530.0,4192.0,1619.0,2.1,18 501 984,68.9,67.0,71.0,0.517,86.978
Сент-Люсия,616.0,616.0,610.0,10.0,4.0,1.6,183 000,72.8,69.5,76.5,0.725,3.61
Сербия,88361.0,88361.0,87460.0,115.0,44.0,0.1,6 605 168,76.9,73.7,80.2,0.805,185.014
Сингапур,710.0,710.0,718.0,10.0,4.0,1.4,5 703 600,83.9,81.4,86.4,0.949,794.179
Словакия,49037.0,49037.0,49035.0,930.0,360.0,1.9,5 422 620,78.5,75.2,81.7,0.855,239.326
Словения,20273.0,20273.0,20136.4,122.0,47.0,0.6,2 123 103,81.8,79.1,84.5,0.926,112.913
Сомали,637657.0,637657.0,627340.0,10320.0,3985.0,1.6,19 009 151,59.0,56.5,61.6,0.38,34.027
Судан,1886068.0,1886068.0,1868000.0,129813.0,50121.0,7.0,50 448 963,66.5,63.4,69.8,0.516,169.189
Суринам,163820.0,163820.0,156000.0,7820.0,3020.0,4.8,581 000,73.8,70.6,77.0,0.69,12.248
Сьерра-Леоне,71740.0,71740.0,72180.0,120.0,46.0,0.2,7 813 000,62.0,60.2,63.7,0.458,18.942
Танзания,945087.0,945087.0,885800.0,61500.0,23700.0,6.5,68 560 157,67.2,64.4,70.0,0.532,244.363
Того,56785.0,56785.0,54390.0,2400.0,930.0,4.2,8 095 498,62.9,62.7,63.2,0.547,27.039
